utterance_id,session,speaker,dialog,emotion,valence,arousal,dominance,wav_path,start_time,end_time,transcript
Ses01F_impro01_F000,Session1,F,Ses01F_impro01,neutral,0.375,0.375,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,6.2901,8.2357,Excuse me.
Ses01F_impro01_F001,Session1,F,Ses01F_impro01,neutral,0.375,0.375,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,10.01,11.3925,Yeah.
Ses01F_impro01_F002,Session1,F,Ses01F_impro01,neutral,0.375,0.375,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,14.8872,18.0175,Is there a problem?
Ses01F_impro01_F005,Session1,F,Ses01F_impro01,neutral,0.375,0.625,0.25,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,27.46,31.49,Well what's the problem?  Let me change it.
Ses01F_impro01_F012,Session1,F,Ses01F_impro01,angry,0.25,0.625,0.625,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,85.27,88.02,That's out of control.
Ses01F_impro01_F014,Session1,F,Ses01F_impro01,neutral,0.375,0.625,0.625,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,97.89,102.96,"Clearly.  You know, do you have like a supervisor or something?"
Ses01F_impro01_M011,Session1,F,Ses01F_impro01,angry,0.25,0.75,0.75,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
Ses01F_impro01_M013,Session1,F,Ses01F_impro01,angry,0.25,0.875,0.875,data/iemocap/Session1/dialog/wav/Ses01F_impro01.wav,101.84,107.87,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
Ses01F_impro02_F000,Session1,F,Ses01F_impro02,sad,0.375,0.25,0.125,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,7.2688,16.6,Did you get the mail? So you saw my letter?
Ses01F_impro02_F001,Session1,F,Ses01F_impro02,sad,0.25,0.125,0.125,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,19.85,22.78,Yeah.  I know.
Ses01F_impro02_F002,Session1,F,Ses01F_impro02,sad,0.25,0.125,0.125,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,26.5659,32.2895,I don't know.  I put in that. request too. They didn't...
Ses01F_impro02_F003,Session1,F,Ses01F_impro02,neutral,0.25,0.25,0.25,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,32.3075,37.96,"I guess, you know, everybody has to make sacrifices."
Ses01F_impro02_F004,Session1,F,Ses01F_impro02,sad,0.375,0.25,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,47.34,53.11,"There's people that have given more though, you know?"
Ses01F_impro02_F005,Session1,F,Ses01F_impro02,sad,0.25,0.25,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,58.75,61.31,I know.
Ses01F_impro02_F006,Session1,F,Ses01F_impro02,neutral,0.375,0.375,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,64.255,68.47,"There's babies over there, though, that need mothers."
Ses01F_impro02_F008,Session1,F,Ses01F_impro02,sad,0.125,0.25,0.125,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,87.2031,91.09,"Just, you know, kicking myself."
Ses01F_impro02_F010,Session1,F,Ses01F_impro02,sad,0.25,0.125,0.25,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,97.94,102.19,things just aren't what they seem.
Ses01F_impro02_F012,Session1,F,Ses01F_impro02,sad,0.625,0.25,0.125,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,117.83,120.8605,"If not me then, who?"
Ses01F_impro02_F013,Session1,F,Ses01F_impro02,sad,0.125,0.25,0.25,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,127.82,133.9455,"You'll videotape everything, yeah?"
Ses01F_impro02_F014,Session1,F,Ses01F_impro02,sad,0.125,0.25,0.25,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,139.03,146.43,"Maybe you can send it to me, like stream it, yeah?"
Ses01F_impro02_F015,Session1,F,Ses01F_impro02,sad,0.25,0.375,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,151.4221,155.01,Last month--  Yeah.
Ses01F_impro02_F016,Session1,F,Ses01F_impro02,neutral,0.25,0.0,0.375,data/iemocap/Session1/dialog/wav/Ses01F_impro02.wav,163.54,165.73,I have to find sitters.
